@id,@notation,@status,rdf:type,rdfs:label,reg:notation
<http://codes.wmo.int/306/4678/+DS>,+DS,stable,skos:Concept,'Heavy duststorm'@en,""
<http://codes.wmo.int/306/4678/+DZ>,+DZ,stable,skos:Concept,'Heavy precipitation of drizzle'@en,""
<http://codes.wmo.int/306/4678/+DZPL>,+DZPL,stable,skos:Concept,'Heavy precipitation of drizzle and ice pellets'@en,""
<http://codes.wmo.int/306/4678/+DZPLRA>,+DZPLRA,stable,skos:Concept,"'Heavy precipitation of drizzle, ice pellets and rain'@en",""
<http://codes.wmo.int/306/4678/+DZRA>,+DZRA,stable,skos:Concept,'Heavy precipitation of drizzle and rain'@en,""
<http://codes.wmo.int/306/4678/+DZRAPL>,+DZRAPL,stable,skos:Concept,"'Heavy precipitation of drizzle, rain and ice pellets'@en",""
<http://codes.wmo.int/306/4678/+DZRASG>,+DZRASG,stable,skos:Concept,"'Heavy precipitation of drizzle, rain and snow grains'@en",""
<http://codes.wmo.int/306/4678/+DZRASN>,+DZRASN,stable,skos:Concept,"'Heavy precipitation of drizzle, rain and snow'@en",""
<http://codes.wmo.int/306/4678/+DZSG>,+DZSG,stable,skos:Concept,'Heavy precipitation of drizzle and snow grains'@en,""
<http://codes.wmo.int/306/4678/+DZSGRA>,+DZSGRA,stable,skos:Concept,"'Heavy precipitation of drizzle, snow grains and rain'@en",""
<http://codes.wmo.int/306/4678/+DZSN>,+DZSN,stable,skos:Concept,'Heavy precipitation of drizzle and snow'@en,""
<http://codes.wmo.int/306/4678/+DZSNRA>,+DZSNRA,stable,skos:Concept,"'Heavy precipitation of drizzle, snow and rain'@en",""
<http://codes.wmo.int/306/4678/+FC>,+FC,stable,skos:Concept,Well-developed funnel cloud(s) (tornado or waterspout),+FC
<http://codes.wmo.int/306/4678/+FZDZ>,+FZDZ,stable,skos:Concept,'Heavy precipitation of freezing drizzle'@en,""
<http://codes.wmo.int/306/4678/+FZDZRA>,+FZDZRA,stable,skos:Concept,'Heavy precipitation of freezing drizzle and rain'@en,""
<http://codes.wmo.int/306/4678/+FZRA>,+FZRA,stable,skos:Concept,'Heavy precipitation of freezng rain'@en,""
<http://codes.wmo.int/306/4678/+FZRADZ>,+FZRADZ,stable,skos:Concept,'Heavy precipitation of freezing rain and drizzle'@en,""
<http://codes.wmo.int/306/4678/+FZUP>,+FZUP,stable,skos:Concept,'Heavy unidentified freezing precipitation'@en,""
<http://codes.wmo.int/306/4678/+PL>,+PL,stable,skos:Concept,'Heavy precipitation of ice pellets'@en,""
<http://codes.wmo.int/306/4678/+PLDZ>,+PLDZ,stable,skos:Concept,'Heavy precipitation of ice pellets and drizzle'@en,""
<http://codes.wmo.int/306/4678/+PLDZRA>,+PLDZRA,stable,skos:Concept,"'Heavy precipitation of ice pellets, drizzle and rain'@en",""
<http://codes.wmo.int/306/4678/+PLRA>,+PLRA,stable,skos:Concept,'Heavy precipitation of ice pellets and rain'@en,""
<http://codes.wmo.int/306/4678/+PLRADZ>,+PLRADZ,stable,skos:Concept,"'Heavy precipitation of ice pellets, rain and drizzle'@en",""
<http://codes.wmo.int/306/4678/+PLRASN>,+PLRASN,stable,skos:Concept,"'Heavy precipitation of ice pellets, rain and snow'@en",""
<http://codes.wmo.int/306/4678/+PLSG>,+PLSG,stable,skos:Concept,'Heavy precipitation of ice pellets and snow grains'@en,""
<http://codes.wmo.int/306/4678/+PLSGSN>,+PLSGSN,stable,skos:Concept,"'Heavy precipitation of ice pellets, snow grains and snow'@en",""
<http://codes.wmo.int/306/4678/+PLSN>,+PLSN,stable,skos:Concept,'Heavy precipitation of ice pellets and snow'@en,""
<http://codes.wmo.int/306/4678/+PLSNRA>,+PLSNRA,stable,skos:Concept,"'Heavy precipitation of ice pellets, snow and rain'@en",""
<http://codes.wmo.int/306/4678/+PLSNSG>,+PLSNSG,stable,skos:Concept,"'Heavy precipitation of ice pellets, snow and snow grains'@en",""
<http://codes.wmo.int/306/4678/+RA>,+RA,stable,skos:Concept,'Heavy precipitation of rain'@en,""
