@id,@notation,@status,dct:description,dct:modified,dct:publisher,ldp:hasMemberRelation,ldp:membershipPredicate,owl:versionInfo,rdf:type,rdfs:label,reg:containedItemClass,reg:manager,reg:owner,reg:subregister,skos:notation
<http://codes.wmo.int/49-2/AerodromePresentOrForecastWeather>,AerodromePresentOrForecastWeather,stable,"'The items within this code table are the weather phenomena that may be reported as forecast to occur or have been observed at an aerodrome. Requirements for reporting present or forecast weather at an aerodrome are specified in Technical Regulations, Volume II (WMO-No. 49), Part II, Appendix 3, [C.3.1.] 4.4 (observation), Appendix 5, [C.3.1] 2.2.4 (trend forecast) and [C.3.1.] 1.2.3 (for TAF).  The weather phenomena listed here are a subset of the enumerated set of meteorologically valid combinations specified in Part A, Code Table 4678 comprising elements ‘intensity or proximity’, ‘descriptor’, ‘precipitation’, ‘obscuration’ and/or ‘other’.'@en",'2014-09-03T09:52:40.633Z'^^xsd:dateTime,"","",skos:member,2,skos:Collection|reg:Register|ldp:Container,Code Table D-7: Aerodrome present or forecast weather,"",<http://codes.wmo.int/system/organization/www-dm>,<http://codes.wmo.int/system/organization/wmo>,"",D-7
<http://codes.wmo.int/49-2/AerodromeRecentWeather>,AerodromeRecentWeather,stable,"'The items within this code table are the weather types that may be reported within a meteorological aerodrome observation report that have occurred during the period since the last issued routine report or last hour, whichever is shorter, but are not observed at the time of the observation. Requirements for reporting recent weather at an aerodrome are specified in Technical Regulations, Volume II (WMO-No. 49), Part II, Appendix 3, [C.3.1.] 4.8.1.1.  This code table contains the set of weather types that are permitted for reporting recent weather. These are a subset of the enumerated set of meteorologically valid combinations specified in Part A, Code Table 4678 comprising elements ‘intensity or proximity’, ‘descriptor’, ‘precipitation’, ‘obscuration’ and/or ‘other’.'@en",'2018-04-04T15:53:40.229Z'^^xsd:dateTime,"","",skos:member,3,ldp:Container|skos:Collection|reg:Register,Code Table D-6: Aerodrome recent weather,"",<http://codes.wmo.int/system/organization/www-dm>,<http://codes.wmo.int/system/organization/wmo>,"",D-6
<http://codes.wmo.int/49-2/AirWxPhenomena>,AirWxPhenomena,stable,'ICAO Annex 3/ WMO No. 49-2 Appendix 6 Section 2.1'@en,'2016-12-30T13:26:05.884Z'^^xsd:dateTime,"",skos:member,"",1,skos:Collection|ldp:Container|reg:Register,'Air Wx Phenomena'@en,"","","","",""
<http://codes.wmo.int/49-2/AviationColourCode>,AviationColourCode,stable,'Volcanic Aviation Colour Code ICAO Annex 15'@en,'2016-12-30T13:26:16.18Z'^^xsd:dateTime,"",skos:member,"",1,reg:Register|skos:Collection|ldp:Container,'Volcanic Aviation Colour Code'@en,"","","","",""
<http://codes.wmo.int/49-2/CloudAmountReportedAtAerodrome>,CloudAmountReportedAtAerodrome,stable,"'The items within this code table are the cloud amount categories of operational significance for aviation as specified in Technical Regulations, Volume II (WMO-No. 49): Meteorological Services for International Air Navigation. This code table contains a subset of the cloud amount categories defined in Part B FM 94 BUFR Code Table 0 20 008.'@en",'2019-10-24T10:48:29.014Z'^^xsd:dateTime,"","",skos:member,11,ldp:Container|reg:Register|skos:Collection,Code Table D-8: Cloud amount reported at aerodrome,"",<http://codes.wmo.int/system/organization/www-dm>,<http://codes.wmo.int/system/organization/wmo>,"",D-8
<http://codes.wmo.int/49-2/SigConvectiveCloudType>,SigConvectiveCloudType,stable,"'The items within this code table are the cloud types of operational significance for aviation as specified in Technical Regulations, Volume II (WMO-No. 49): Meteorological Services for International Air Navigation. This code table contains a subset of the cloud types defined in Part B FM 94 BUFR Code Table 0 20 012.'@en",'2019-10-24T10:48:05.101Z'^^xsd:dateTime,"","",skos:member,3,ldp:Container|reg:Register|skos:Collection,Code Table D-9: Significant convective cloud type,"",<http://codes.wmo.int/system/organization/www-dm>,<http://codes.wmo.int/system/organization/wmo>,"",D-9
<http://codes.wmo.int/49-2/SigWxPhenomena>,SigWxPhenomena,stable,"'The items within this code table are the types of weather phenomena of significance to aeronautical operations – as used in SIGMET and AIRMET reports and specified in Technical Regulations, Volume II (WMO-No. 49), Part II, Appendix 6, [C.3.1.] 1.1.4. '@en",'2014-09-03T09:52:41.384Z'^^xsd:dateTime,"","",skos:member,2,reg:Register|skos:Collection|ldp:Container,Code Table D-10: Significant Weather Phenomena,"",<http://codes.wmo.int/system/organization/www-dm>,<http://codes.wmo.int/system/organization/wmo>,"",D-10
<http://codes.wmo.int/49-2/SpaceWxLocation>,SpaceWxLocation,experimental,'The items within this code table are the locations of space weather phenomena of significance to aeronautical operations'@en,'2019-03-20T16:57:02.324Z'^^xsd:dateTime,"",skos:member,"",1,ldp:Container|skos:Collection|reg:Register,'Space Wx Location'@en,"","","","",""
<http://codes.wmo.int/49-2/SpaceWxPhenomena>,SpaceWxPhenomena,experimental,'The items within this code table are the types of space weather phenomena of significance to aeronautical operations'@en,'2019-03-20T16:54:58.099Z'^^xsd:dateTime,"",skos:member,"",1,skos:Collection|reg:Register|ldp:Container,'Space Wx Phenomena'@en,"","","","",""
<http://codes.wmo.int/49-2/WeatherCausingVisibilityReduction>,WeatherCausingVisibilityReduction,stable,'ICAO Annex 3/ WMO No. 49-2 Appendix 6 Section 2.1 under SFC VIS'@en,'2016-12-30T13:26:25.95Z'^^xsd:dateTime,"",skos:member,"",1,reg:Register|skos:Collection|ldp:Container,'Weather Causing Visibility Reduction'@en,"","","","",""
