@id,@notation,@status,rdf:type,rdfs:label
<http://codes.wmo.int/306/4678/BLSN>,REBLSN,stable,skos:Concept,'Blowing snow'@en
<http://codes.wmo.int/306/4678/DS>,REDS,stable,skos:Concept,'Duststorm'@en
<http://codes.wmo.int/306/4678/DZ>,REDZ,stable,skos:Concept,'Precipitation of drizzle'@en
<http://codes.wmo.int/306/4678/FC>,REFC,stable,skos:Concept,'Funnel cloud(s) (tornado or water-spout)'@en
<http://codes.wmo.int/306/4678/FZDZ>,REFZDZ,stable,skos:Concept,'Precipitation of freezing drizzle'@en
<http://codes.wmo.int/306/4678/FZRA>,REFZRA,stable,skos:Concept,'Precipitation of freezing rain'@en
<http://codes.wmo.int/306/4678/FZUP>,REFZUP,stable,skos:Concept,'Unidentified freezing precipitation'@en
<http://codes.wmo.int/306/4678/PL>,REPL,stable,skos:Concept,'Precipitation of ice pellets'@en
<http://codes.wmo.int/306/4678/RA>,RERA,stable,skos:Concept,'Precipitation of rain'@en
<http://codes.wmo.int/306/4678/RASN>,RERASN,stable,skos:Concept,'Precipitation of rain and snow'@en
<http://codes.wmo.int/306/4678/SG>,RESG,stable,skos:Concept,'Precipitation of snow grains'@en
<http://codes.wmo.int/306/4678/SHGR>,RESHGR,stable,skos:Concept,'Showery precipitation of hail'@en
<http://codes.wmo.int/306/4678/SHGS>,RESHGS,stable,skos:Concept,'Showery precipitation of snow pellets/small hail'@en
<http://codes.wmo.int/306/4678/SHRA>,RESHRA,stable,skos:Concept,'Showery precipitation of rain'@en
<http://codes.wmo.int/306/4678/SHSN>,RESHSN,stable,skos:Concept,'Showery precipitation of snow'@en
<http://codes.wmo.int/306/4678/SHUP>,RESHUP,stable,skos:Concept,'Showery precipitation of unidentified precipitation'@en
<http://codes.wmo.int/306/4678/SN>,RESN,stable,skos:Concept,'Precipitation of snow'@en
<http://codes.wmo.int/306/4678/SS>,RESS,stable,skos:Concept,'Sandstorm'@en
<http://codes.wmo.int/306/4678/TS>,RETS,stable,skos:Concept,'Thunderstorm'@en
<http://codes.wmo.int/306/4678/TSGR>,RETSGR,stable,skos:Concept,'Thunderstorm with precipitation of hail'@en
<http://codes.wmo.int/306/4678/TSGS>,RETSGS,stable,skos:Concept,'Thunderstorm with precipitation of snow pellets/small hail'@en
<http://codes.wmo.int/306/4678/TSRA>,RETSRA,stable,skos:Concept,'Thunderstorm with precipitation of rain'@en
<http://codes.wmo.int/306/4678/TSSN>,RETSSN,stable,skos:Concept,'Thunderstorm with precipitation of snow'@en
<http://codes.wmo.int/306/4678/TSUP>,RETSUP,stable,skos:Concept,'Thunderstorm with unidentified precipitation'@en
<http://codes.wmo.int/306/4678/UP>,REUP,stable,skos:Concept,'Unidentified precipitation'@en
<http://codes.wmo.int/306/4678/VA>,REVA,stable,skos:Concept,'Volcanic ash'@en
