@id,@notation,@status,rdf:type,rdfs:label
<http://codes.wmo.int/49-2/SigWxPhenomena/EMBD_TS>,EMBD_TS,stable,skos:Concept,'Embedded thunderstorm'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/EMBD_TSGR>,EMBD_TSGR,stable,skos:Concept,'Embedded thunderstorm with hail'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/FRQ_TS>,FRQ_TS,stable,skos:Concept,'Frequent thunderstorm'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/FRQ_TSGR>,FRQ_TSGR,stable,skos:Concept,'Frequent thunderstorm with hail'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/HVY_DS>,HVY_DS,stable,skos:Concept,'Heavy dust storm'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/HVY_SS>,HVY_SS,stable,skos:Concept,'Heavy sand storm'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/OBSC_TS>,OBSC_TS,stable,skos:Concept,'Obscured thunderstorm'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/OBSC_TSGR>,OBSC_TSGR,stable,skos:Concept,'Obscured thunderstorm with hail'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/RDOACT_CLD>,RDOACT_CLD,stable,skos:Concept,'Radioactive cloud'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/SEV_ICE>,SEV_ICE,stable,skos:Concept,'Severe airframe icing'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/SEV_ICE_FZRA>,SEV_ICE_FZRA,stable,skos:Concept,'Severe airframe icing from freezing rain'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/SEV_MTW>,SEV_MTW,stable,skos:Concept,'Severe mountain wave'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/SEV_TURB>,SEV_TURB,stable,skos:Concept,'Severe turbulence'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/SQL_TS>,SQL_TS,stable,skos:Concept,'Squall line'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/SQL_TSGR>,SQL_TSGR,stable,skos:Concept,'Squall line with hail'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/TC>,TC,stable,skos:Concept,'Tropical cyclone'@en
<http://codes.wmo.int/49-2/SigWxPhenomena/VA>,VA,stable,skos:Concept,'Volcanic ash'@en
