@id,@notation,@status,dc:source,dct:description,rdf:type,rdfs:label,rdfs:seeAlso,skos:altLabel
<http://codes.wmo.int/common/nil/AboveDetectionRange>,AboveDetectionRange,stable,"",'The value was above the detection range of the instrument used to estimate it.'@en,skos:Concept,'Above detection range'@en,"",""
<http://codes.wmo.int/common/nil/BelowDetectionRange>,BelowDetectionRange,stable,"",'The value was below the detection range of the instrument used to estimate it.'@en,skos:Concept,'Below detection range'@en,"",""
<http://codes.wmo.int/common/nil/inapplicable>,inapplicable,stable,'ISO 19136:2007 'Geographic information - Geography Markup Language' sub-clause 8.2.3.1'@en,'There is no value.'@en,skos:Concept,'Inapplicable'@en,<http://www.opengis.net/doc/gml#clause-8.2.3.1>,""
<http://codes.wmo.int/common/nil/missing>,missing,stable,'ISO 19136:2007 'Geographic information - Geography Markup Language' sub-clause 8.2.3.1'@en,"'The correct value is not readily available to the sender of this data. Furthermore, a correct value may not exist.'@en",skos:Concept,'Missing'@en,<http://www.opengis.net/doc/gml#clause-8.2.3.1>,""
<http://codes.wmo.int/common/nil/noSignificantChange>,noSignificantChange,stable,"",'No significant change is expected to occur.'@en,skos:Concept,'No significant change'@en,"",NOSIG
<http://codes.wmo.int/common/nil/notDetectedByAutoSystem>,notDetectedByAutoSystem,stable,"",'The automated observing system did not detect a value (e.g. no cloud detected 'NCD').'@en,skos:Concept,'Nothing detected by automated system'@en,"",""
<http://codes.wmo.int/common/nil/notObservable>,notObservable,stable,"","'A system failure, sensor failure, or sensor obstruction, prevented the intended observation of the value.'@en",skos:Concept,'Not observable'@en,"",""
<http://codes.wmo.int/common/nil/nothingOfOperationalSignificance>,nothingOfOperationalSignificance,stable,"","'Nothing was observed or forecast of operational significance (e.g. nil significant cloud 'NSC', nil significant weather 'NSW').'@en",skos:Concept,'Nothing of operational signficance'@en,"",""
<http://codes.wmo.int/common/nil/template>,template,stable,'ISO 19136:2007 'Geographic information - Geography Markup Language' sub-clause 8.2.3.1'@en,'The value will be available later.'@en,skos:Concept,'Template'@en,<http://www.opengis.net/doc/gml#clause-8.2.3.1>,""
<http://codes.wmo.int/common/nil/unknown>,unknown,stable,'ISO 19136:2007 'Geographic information - Geography Markup Language' sub-clause 8.2.3.1'@en,"'The correct value is not known to, and not computable by, the sender of this data. However, a correct value probably exists.'@en",skos:Concept,'Unknown'@en,<http://www.opengis.net/doc/gml#clause-8.2.3.1>,""
<http://codes.wmo.int/common/nil/withheld>,withheld,stable,'ISO 19136:2007 'Geographic information - Geography Markup Language' sub-clause 8.2.3.1'@en,'The value is not divulged.'@en,skos:Concept,'Withheld'@en,<http://www.opengis.net/doc/gml#clause-8.2.3.1>,""
